Username,Netflix_Watch_Time,PrimeVideo_Watch_Time,Hotstar_Watch_Time,Zee5_Watch_Time
staciewilliams,40,7,0,7
yolson,14,8,23,21
marcprice,47,57,17,18
michelle21,27,2,0,6
vaughnrachel,14,32,19,4
ericamathis,12,45,20,13
coreynorman,14,28,18,25
michael06,0,48,25,22
lwaller,27,21,8,6
madisonspencer,48,21,3,12
eric51,6,22,27,19
glawrence,16,51,1,17
alexanderthompson,7,59,12,17
patelmichael,18,53,20,28
annettesmith,23,36,6,1
taylormatthew,42,14,24,2
xavila,14,55,3,8
grahamlauren,29,40,26,5
collinsjames,23,22,6,22
craiggarcia,43,41,2,20
melissalong,10,34,23,5
pinedaheather,29,24,8,7
uortiz,43,20,26,7
michaelmiller,2,51,10,8
davidreed,4,13,29,28
joseph39,45,20,6,12
markmeyer,41,29,4,4
james28,15,47,17,8
michelle22,47,37,13,12
erik96,23,14,4,15
snash,5,48,1,4
lopezwilliam,40,10,25,19
asmith,4,24,12,14
larry87,33,16,17,5
carloswang,46,7,21,24
karl22,17,49,20,3
gwhite,18,27,5,0
daniel95,46,56,23,16
lisa72,48,11,16,27
morrischristine,40,19,26,19
ftate,12,9,11,17
dominique42,49,59,16,4
armstrongdouglas,20,31,0,29
jessicachavez,23,56,26,7
droberts,3,15,28,30
itaylor,5,5,23,26
jessicaford,4,48,17,4
ashleychavez,42,30,30,5
brendawhite,16,33,27,13
hannahwright,13,59,17,22
mcguirechristopher,19,25,21,14
mitchellgonzales,33,28,3,7
kjames,4,21,0,17
udavis,14,37,7,0
bradley12,45,40,1,2
oneillfrank,2,55,10,16
woodsnathan,15,17,21,6
josephkelly,34,8,23,18
dawn95,30,15,25,25
wrivera,26,12,3,21
jramirez,27,22,13,14
andersontravis,46,3,21,1
gillkenneth,25,46,10,7
sgolden,12,12,17,4
kathleen21,27,11,8,7
medinascott,4,28,25,3
taylorchristine,3,41,17,0
nicholasclark,48,54,7,13
rebeccamckee,31,30,6,28
hhernandez,3,10,12,3
drosales,16,59,25,9
gallagheralice,27,44,30,21
zholland,45,31,4,9
tammy36,13,3,18,1
laura43,47,20,1,18
cking,30,32,29,5
wjensen,3,32,2,2
christopher25,38,4,21,12
reyestimothy,7,60,28,7
karenbennett,37,38,1,2
donna88,26,42,18,16
morgantimothy,20,59,8,21
nicholaswilliams,45,20,7,12
vmurray,8,42,20,14
christinagutierrez,20,59,24,0
smithalicia,29,39,18,2
nwilliams,34,13,16,4
kennethpeters,22,56,2,11
omendoza,18,10,14,22
fordkristin,19,39,25,0
deleonthomas,42,52,17,29
perezmathew,42,6,30,8
katherinecruz,7,56,3,4
nicole44,17,18,19,22
pattersonannette,21,13,21,16
maxwellsanchez,31,16,28,2
cody26,40,27,26,1
ehughes,0,21,24,20
qshort,16,10,23,17
richard84,45,27,17,0
ihall,4,60,28,17
james11,2,53,11,17
perezdillon,9,27,4,9
bakeredgar,23,57,29,28
herrerajonathan,22,13,21,21
collinsronald,6,22,24,28
blake87,26,39,23,29
sarah86,15,55,5,28
lanejoseph,26,1,5,25
tammy64,26,51,21,8
bfloyd,10,50,22,12
zwebster,2,54,15,6
nancykane,29,22,9,7
william69,1,42,6,10
ochapman,17,55,2,11
anthonyduncan,41,32,12,10
robertszachary,1,7,28,5
crawfordheather,37,16,1,19
ascott,27,22,23,13
lstevens,38,32,3,28
ginahickman,36,12,8,22
gibsonjennifer,27,0,16,21
kpearson,46,60,23,11
jose56,27,4,30,19
pettyryan,20,42,27,23
zmyers,19,32,9,10
rodneyweiss,25,44,9,4
lopezjuan,12,26,21,21
uperez,47,57,5,18
xlewis,19,25,17,2
jacqueline42,18,13,13,19
fisherscott,41,20,14,14
fparker,43,13,16,25
parkerkatherine,50,47,5,9
qsanders,32,42,20,10
heather56,5,52,30,21
susanmiller,19,14,25,4
jonathan24,1,2,7,19
bwells,49,4,14,28
sallyhuynh,40,36,6,15
daniel56,25,15,4,0
jerryanderson,49,27,7,25
blankenshipcarly,44,33,14,17
hardincaitlyn,15,58,27,14
joel16,8,51,14,17
fosterjoanna,38,20,30,19
bcastaneda,46,57,16,26
carla56,35,28,28,23
jameskhan,30,28,8,26
fvargas,40,17,24,15
geraldgardner,40,15,8,2
amberlynch,45,18,7,10
glewis,20,57,17,4
torrescassidy,9,14,12,22
hamptonheather,13,4,13,10
bmorse,34,29,13,6
patriciafoster,26,24,28,30
judy85,44,1,27,12
joseph99,30,0,30,9
sarah97,48,24,27,17
zbest,47,47,17,28
oruiz,14,31,7,13
smithalexandra,31,1,12,21
efleming,43,51,12,26
kathy59,29,58,4,17
jessicaperez,1,58,12,18
taylor99,42,1,2,4
barbara53,29,11,1,12
garrettmichael,20,13,14,10
susan64,48,56,12,24
wcole,26,16,26,15
dsnyder,1,47,17,30
cody04,22,14,20,24
fbradshaw,41,2,24,1
nicolebaker,12,53,0,4
mckaymary,15,8,15,18
loganjessica,13,29,22,24
oschultz,23,10,19,30
pgilmore,47,45,3,30
chris49,19,6,18,2
thomastony,36,43,29,12
michelleparsons,45,12,2,22
laura76,40,15,3,27
carmencontreras,43,38,25,25
choidean,36,50,1,17
cannonalexander,27,42,11,16
nelsonchase,41,21,0,26
stevenjohnson,31,6,13,20
sberger,29,45,4,5
halecraig,46,33,30,19
james92,34,49,15,13
jonesteresa,46,37,8,27
alexandra99,15,53,29,8
amber07,28,15,24,18
mjuarez,39,42,12,0
christophernelson,31,54,10,15
michaelvaughn,13,22,25,10
nford,17,56,19,17
amy51,0,33,30,2
johnstonjeffrey,15,46,13,17
